Company_x,Film,Release,Adjusted,Worldwide,Domestic,Foreign,Rated,Director,Internet Movie Database,Rotten Tomatoes,Metacritic,Metascore,imdbVotes,Avg rating
DC,Superman,1978,1097.039,300.218018,134.218018,166,,,0.73,0.93,,,,0.83
DC,Batman,1989,790.35388,411.348924,251.188924,160.16,,,0.76,0.72,,,,0.74
DC,Batman Forever,1995,526.102812,336.529144,184.031112,152.498032,,,0.54,0.41,,,,0.475
DC,Batman Returns,1992,453.103534,266.822354,162.831698,103.990656,,,0.7,0.81,,,,0.755
DC,Superman II,1980,312.806365,108.185706,108.185706,,,,0.68,0.87,,,,0.775
Marvel,Howard the Duck,1986,82.524005,37.962774,16.295774,21.667,,,0.46,0.25,,,,0.355
DC,Superman IV: The Quest for Peace,1987,32.88735,15.68102,15.68102,,,,0.37,0.28,,,,0.325
DC,Supergirl,1984,32.782737,14.296438,14.296438,,,,0.43,0.32,,,,0.375
DC,Batman: The Movie,1966,22.060185,3,3,,,,0.65,0.86,,,,0.755
DC,The Return of Swamp Thing,1989,0.370471,0.192816,0.192816,,,,0.45,0.4,,,,0.425
DC,Steel,1997,2.539807,1.710972,1.710972,,,,0.28,0.3,,,,0.29
DC,Batman & Robin,1997,353.600292,238.207122,107.325195,130.881927,,,0.37,0.37,,,,0.37
Marvel,Blade,1998,191.745252,131.18353,70.087718,61.095812,R,Stephen Norrington,0.71,0.54,0.45,0.45,"207,875",0.57
Marvel,X-Men,2000,410.005182,296.339527,157.299717,139.03981,PG-13,Bryan Singer,0.74,0.81,0.64,0.64,"496,782",0.71
Marvel,Blade II,2002,205.287049,155.010032,82.348319,72.661713,R,Guillermo del Toro,0.67,0.57,0.52,0.52,"172,769",0.59
Marvel,Spider-Man,2002,1088.227139,821.708551,403.706375,418.002176,PG-13,Sam Raimi,0.73,0.89,0.73,0.73,"589,948",0.76
Marvel,Daredevil,2003,232.008521,179.179718,102.543518,76.6362,,,0.53,0.53,,,,0.53
DC,League of Extraordinary Gentlemen,2003,232.119211,179.265204,66.465204,112.8,,,0.58,0.4,,,,0.49
Marvel,X2: X-Men United,2003,527.919981,407.711549,214.949694,192.761855,,,0.75,0.86,,,,0.81
Marvel,Hulk,2003,317.701817,245.36048,132.177234,113.183246,PG-13,Ang Lee,0.57,0.61,0.54,0.54,"224,806",0.57
Marvel,Spider-Man 2,2004,988.524779,783.766341,373.585825,410.180516,PG-13,Sam Raimi,0.73,0.94,0.83,0.83,"455,348",0.81
Marvel,The Punisher,2004,68.990471,54.700105,33.810189,20.889916,R,Jonathan Hensleigh,0.65,0.29,0.33,0.33,"133,725",0.45
DC,Catwoman,2004,103.551571,82.102379,40.202379,41.9,PG-13,Pitof,0.33,0.09,0.27,0.27,"93,823",0.26
Marvel,Blade: Trinity,2004,162.581808,128.905366,52.411906,76.49346,R,David S. Goyer,0.59,0.25,0.38,0.38,"144,268",0.44
DC,Constantine,2005,281.660453,230.884728,75.976178,154.90855,R,Francis Lawrence,0.69,0.46,0.5,0.5,"255,131",0.57
Marvel,Fantastic Four,2005,403.280174,330.579719,154.69608,175.883639,PG-13,Tim Story,0.57,0.27,0.4,0.4,"281,413",0.44
DC,Batman Begins,2005,456.516123,374.218673,206.852432,167.366241,PG-13,Christopher Nolan,0.83,0.84,0.7,0.7,"1,085,746",0.78
DC,V for Vendetta,2005,161.652607,132.511035,70.511035,62,R,James McTeigue,0.82,0.73,0.62,0.62,"875,211",0.72
Marvel,Elektra,2005,69.146867,56.681566,24.409722,32.271844,PG-13,Rob Bowman,0.48,0.1,0.34,0.34,"76,214",0.35
DC,Superman Returns,2006,462.178046,391.081192,200.081192,191,PG-13,Bryan Singer,0.61,0.76,0.72,0.72,"250,161",0.68
Marvel,X-Men: The Last Stand,2006,542.869117,459.359555,234.362462,224.997093,PG-13,Brett Ratner,0.67,0.58,0.58,0.58,"417,025",0.62
Marvel,Fantastic Four: Rise of the Silver Surfer,2007,332.135455,289.047763,131.921738,157.126025,,,0.56,0.48,,,,0.52
Marvel,Ghost Rider,2007,262.835905,228.738393,115.802596,112.935797,PG-13,Mark Steven Johnson,0.52,0.26,0.35,0.35,"195,305",0.4
Marvel,Spider-Man 3,2007,1023.671832,890.871626,336.530303,554.341323,PG-13,Sam Raimi,0.62,0.63,0.59,0.59,"418,541",0.61
DC,The Dark Knight,2008,1111.624312,1004.558444,534.858444,469.7,PG-13,Christopher Nolan,0.9,0.94,0.82,0.82,"1,848,050",0.88
Marvel,The Incredible Hulk,2008,291.503667,263.427551,134.806913,128.620638,PG-13,Louis Leterrier,0.68,0.67,0.61,0.61,"351,981",0.65
Marvel,Iron Man,2008,647.542108,585.174222,318.412101,266.762121,PG-13,Jon Favreau,0.79,0.94,0.79,0.79,"759,000",0.82
Marvel,Punisher: War Zone,2008,11.176498,10.100036,8.050977,2.049059,R,Lexi Alexander,0.6,0.27,0.3,0.3,"53,020",0.41
DC,The Spirit,2008,43.191298,39.031337,19.806188,19.225149,PG-13,Frank Miller,0.48,0.14,0.3,0.3,"55,704",0.34
DC,Watchmen,2009,205.735853,185.258983,107.509799,77.749184,R,Zack Snyder,0.76,0.64,0.56,0.56,"420,928",0.66
DC,Jonah Hex,2010,11.913114,10.903312,10.547117,0.356195,PG-13,Jimmy Hayward,0.47,0.12,0.33,0.33,"48,662",0.34
Marvel,Iron Man 2,2010,681.718448,623.933331,312.433331,311.5,PG-13,Jon Favreau,0.7,0.73,0.57,0.57,"577,257",0.65
Marvel,Kick-Ass,2010,105.097366,96.188903,48.071303,48.1176,R,Matthew Vaughn,0.77,0.75,0.66,0.66,"468,206",0.72
DC,The Losers,2010,32.100704,29.379723,23.591432,5.788291,PG-13,Sylvain White,0.64,0.48,0.44,0.44,"78,783",0.53
Marvel,Thor,2011,475.915989,449.326618,181.030624,268.295994,PG-13,Kenneth Branagh,0.7,0.77,0.57,0.57,"595,062",0.66
Marvel,X-Men: First Class,2011,374.5502,353.624124,146.408305,207.215819,PG-13,Matthew Vaughn,0.78,0.86,0.65,0.65,"564,630",0.74
Marvel,Captain America: The First Avenger,2011,392.498627,370.569774,176.654505,193.915269,PG-13,Joe Johnston,0.69,0.8,0.66,0.66,"567,254",0.7
DC,Green Lantern,2011,232.861094,219.851172,116.601172,103.25,PG-13,Martin Campbell,0.56,0.26,0.39,0.39,"236,424",0.43
Marvel,Avengers,2012,1575.847963,1518.59491,623.35791,895.237,,,0.81,0.92,,,,0.87
Marvel,Ghost Rider: Spirit of Vengeance,2012,137.561767,132.56393,51.774002,80.789928,PG-13,"Mark Neveldine, Brian Taylor",0.43,0.17,0.34,0.34,"95,144",0.34
Marvel,The Amazing Spider-Man,2012,786.50566,757.930663,262.030663,495.9,PG-13,Marc Webb,0.7,0.73,0.66,0.66,"488,265",0.69
DC,The Dark Knight Rises,2012,1125.323899,1084.439099,448.139099,636.3,PG-13,Christopher Nolan,0.84,0.87,0.78,0.78,"1,263,592",0.82
Marvel,Thor: The Dark World,2013,659.433213,644.78314,206.36214,438.421,PG-13,Alan Taylor,0.7,0.66,0.54,0.54,"463,848",0.63
DC,Man of Steel,2013,683.224134,668.045518,291.045518,377,PG-13,Zack Snyder,0.71,0.55,0.55,0.55,"592,964",0.61
Marvel,Kick-Ass 2,2013,62.177326,60.795985,28.795985,32,R,Jeff Wadlow,0.66,0.32,0.41,0.41,"221,577",0.49
Marvel,Iron Man 3,2013,1243.055923,1215.439994,409.013994,806.426,PG-13,Shane Black,0.72,0.79,0.62,0.62,"611,307",0.69
Marvel,Guardians of the Galaxy,2014,418.681,418.681,222.281,196.4,PG-13,James Gunn,0.81,0.91,0.76,0.76,"797,105",0.81
Marvel,The Amazing Spider-Man 2,2014,708.219235,708.219235,202.778224,505.441011,PG-13,Marc Webb,0.67,0.52,0.53,0.53,"355,302",0.58
Marvel,Captain America: The Winter Soldier,2014,714.0259,714.0259,259.7089,454.317,PG-13,"Anthony Russo, Joe Russo",0.78,0.89,0.7,0.7,"567,097",0.77
Marvel,X-Men: Days of Future Past,2014,744.047433,744.047433,232.485,511.562433,PG-13,Bryan Singer,0.8,0.91,0.74,0.74,"569,251",0.8
Marvel,Avengers: Age of Ultron,2015,,1405.403694,459.005868,946.397826,PG-13,Joss Whedon,0.74,0.75,0.66,0.66,"546,135",0.7
Marvel,Ant-Man,2015,,519.311965,180.202163,339.109802,PG-13,Peyton Reed,0.73,0.82,0.64,0.64,"396,351",0.71
Marvel,Captain America: Civil War,2016,,1153.304495,408.084349,745.220146,PG-13,"Anthony Russo, Joe Russo",0.79,0.91,0.75,0.75,"451,386",0.8
Marvel,Doctor Strange,2016,,677.718395,232.64192,445.076475,PG-13,Scott Derrickson,0.75,0.89,0.72,0.72,"358,456",0.77
DC,Batman v Superman: Dawn of Justice,2016,,873.260194,330.360194,542.9,PG-13,Zack Snyder,0.66,0.27,0.44,0.44,"505,377",0.45
DC,Suicide Squad,2016,,745.600054,3251.000054,20.5,PG-13,David Ayer,0.62,0.26,0.4,0.4,"446,021",0.42