,Company_x,Film,Release,Adjusted,Worldwide,Domestic,Foreign,Rated,Director,Internet Movie Database,Rotten Tomatoes,Metacritic,Metascore,imdbVotes
0,DC,Steel,1997,2.539807,1.7109720000000002,1.7109720000000002,,,,,,,,
1,DC,Batman & Robin,1997,353.60029199999997,238.20712200000003,107.325195,130.881927,,,,,,,
2,Marvel,Blade,1998,191.745252,131.18353000000002,70.08771800000001,61.095812,R,Stephen Norrington,7.1/10,54%,45/100,45,"207,875"
3,Marvel,X-Men,2000,410.005182,296.339527,157.299717,139.03981000000002,PG-13,Bryan Singer,7.4/10,81%,64/100,64,"496,782"
4,Marvel,Blade II,2002,205.287049,155.010032,82.34831899999999,72.661713,R,Guillermo del Toro,6.7/10,57%,52/100,52,"172,769"
5,Marvel,Spider-Man,2002,1088.227139,821.7085509999999,403.706375,418.00217599999996,PG-13,Sam Raimi,7.3/10,89%,73/100,73,"589,948"
6,Marvel,Hulk,2003,317.701817,245.36048,132.177234,113.183246,PG-13,Ang Lee,5.7/10,61%,54/100,54,"224,806"
7,Marvel,Daredevil,2003,232.008521,179.17971799999998,102.543518,76.6362,,,,,,,
8,DC,League of Extraordinary Gentlemen,2003,232.11921099999998,179.265204,66.465204,112.8,,,,,,,
9,Marvel,X2: X-Men United,2003,527.919981,407.71154900000005,214.949694,192.761855,,,,,,,
10,Marvel,Spider-Man 2,2004,988.524779,783.766341,373.585825,410.180516,PG-13,Sam Raimi,7.3/10,94%,83/100,83,"455,348"
11,Marvel,The Punisher,2004,68.990471,54.70010500000001,33.810189,20.889916,R,Jonathan Hensleigh,6.5/10,29%,33/100,33,"133,725"
12,DC,Catwoman,2004,103.551571,82.102379,40.202379,41.9,PG-13,Pitof,3.3/10,9%,27/100,27,"93,823"
13,Marvel,Blade: Trinity,2004,162.581808,128.905366,52.411906,76.49346,R,David S. Goyer,5.9/10,25%,38/100,38,"144,268"
14,DC,Constantine,2005,281.66045299999996,230.88472799999997,75.976178,154.90855,R,Francis Lawrence,6.9/10,46%,50/100,50,"255,131"
15,Marvel,Fantastic Four,2005,403.28017400000004,330.579719,154.69608,175.883639,PG-13,Tim Story,5.7/10,27%,40/100,40,"281,413"
16,DC,Batman Begins,2005,456.51612300000005,374.218673,206.852432,167.366241,PG-13,Christopher Nolan,8.3/10,84%,70/100,70,"1,085,746"
17,DC,V for Vendetta,2005,161.65260700000002,132.51103500000002,70.51103499999999,62.0,R,James McTeigue,8.2/10,73%,62/100,62,"875,211"
18,Marvel,Elektra,2005,69.146867,56.681566000000004,24.409722,32.271844,PG-13,Rob Bowman,4.8/10,10%,34/100,34,"76,214"
19,DC,Superman Returns,2006,462.178046,391.081192,200.081192,191.0,PG-13,Bryan Singer,6.1/10,76%,72/100,72,"250,161"
20,Marvel,X-Men: The Last Stand,2006,542.869117,459.359555,234.36246200000002,224.997093,PG-13,Brett Ratner,6.7/10,58%,58/100,58,"417,025"
21,Marvel,Ghost Rider,2007,262.83590499999997,228.73839300000003,115.802596,112.935797,PG-13,Mark Steven Johnson,5.2/10,26%,35/100,35,"195,305"
22,Marvel,Fantastic Four: Rise of the Silver Surfer,2007,332.135455,289.047763,131.92173799999998,157.126025,,,,,,,
23,Marvel,Spider-Man 3,2007,1023.671832,890.871626,336.530303,554.341323,PG-13,Sam Raimi,6.2/10,63%,59/100,59,"418,541"
24,DC,The Dark Knight,2008,1111.624312,1004.5584439999999,534.8584440000001,469.7,PG-13,Christopher Nolan,9.0/10,94%,82/100,82,"1,848,050"
25,Marvel,The Incredible Hulk,2008,291.503667,263.427551,134.80691299999998,128.62063799999999,PG-13,Louis Leterrier,6.8/10,67%,61/100,61,"351,981"
26,Marvel,Iron Man,2008,647.542108,585.174222,318.41210099999995,266.762121,PG-13,Jon Favreau,7.9/10,94%,79/100,79,"759,000"
27,Marvel,Punisher: War Zone,2008,11.176497999999999,10.100036,8.050977,2.049059,R,Lexi Alexander,6.0/10,27%,30/100,30,"53,020"
28,DC,The Spirit,2008,43.191297999999996,39.031337,19.806188,19.225149,PG-13,Frank Miller,4.8/10,14%,30/100,30,"55,704"
29,DC,Watchmen,2009,205.735853,185.258983,107.509799,77.749184,R,Zack Snyder,7.6/10,64%,56/100,56,"420,928"
30,DC,Jonah Hex,2010,11.913114,10.903312,10.547117,0.356195,PG-13,Jimmy Hayward,4.7/10,12%,33/100,33,"48,662"
31,Marvel,Iron Man 2,2010,681.7184480000001,623.933331,312.433331,311.5,PG-13,Jon Favreau,7.0/10,73%,57/100,57,"577,257"
32,Marvel,Kick-Ass,2010,105.097366,96.188903,48.071303,48.1176,R,Matthew Vaughn,7.7/10,75%,66/100,66,"468,206"
33,DC,The Losers,2010,32.100704,29.379723,23.591432,5.788291,PG-13,Sylvain White,6.4/10,48%,44/100,44,"78,783"
34,Marvel,Thor,2011,475.91598899999997,449.326618,181.030624,268.295994,PG-13,Kenneth Branagh,7.0/10,77%,57/100,57,"595,062"
35,Marvel,X-Men: First Class,2011,374.5502,353.624124,146.408305,207.21581899999998,PG-13,Matthew Vaughn,7.8/10,86%,65/100,65,"564,630"
36,Marvel,Captain America: The First Avenger,2011,392.498627,370.569774,176.654505,193.915269,PG-13,Joe Johnston,6.9/10,80%,66/100,66,"567,254"
37,DC,Green Lantern,2011,232.861094,219.85117200000002,116.60117199999999,103.25,PG-13,Martin Campbell,5.6/10,26%,39/100,39,"236,424"
38,Marvel,Ghost Rider: Spirit of Vengeance,2012,137.561767,132.56393,51.774002,80.789928,PG-13,"Mark Neveldine, Brian Taylor",4.3/10,17%,34/100,34,"95,144"
39,Marvel,Avengers,2012,1575.8479630000002,1518.59491,623.35791,895.237,,,,,,,
40,Marvel,The Amazing Spider-Man,2012,786.5056599999999,757.930663,262.030663,495.9,PG-13,Marc Webb,7.0/10,73%,66/100,66,"488,265"
41,DC,The Dark Knight Rises,2012,1125.323899,1084.439099,448.13909900000004,636.3,PG-13,Christopher Nolan,8.4/10,87%,78/100,78,"1,263,592"
42,Marvel,Thor: The Dark World,2013,659.433213,644.78314,206.36213999999998,438.421,PG-13,Alan Taylor,7.0/10,66%,54/100,54,"463,848"
43,DC,Man of Steel,2013,683.2241339999999,668.045518,291.045518,377.0,PG-13,Zack Snyder,7.1/10,55%,55/100,55,"592,964"
44,Marvel,Kick-Ass 2,2013,62.177326,60.795984999999995,28.795984999999998,32.0,R,Jeff Wadlow,6.6/10,32%,41/100,41,"221,577"
45,Marvel,Iron Man 3,2013,1243.0559230000001,1215.4399939999998,409.01399399999997,806.426,PG-13,Shane Black,7.2/10,79%,62/100,62,"611,307"
46,Marvel,Guardians of the Galaxy,2014,418.681,418.681,222.28099999999998,196.4,PG-13,James Gunn,8.1/10,91%,76/100,76,"797,105"
47,Marvel,The Amazing Spider-Man 2,2014,708.2192349999999,708.2192349999999,202.778224,505.44101100000006,PG-13,Marc Webb,6.7/10,52%,53/100,53,"355,302"
48,Marvel,Captain America: The Winter Soldier,2014,714.0259,714.0259,259.7089,454.31699999999995,PG-13,"Anthony Russo, Joe Russo",7.8/10,89%,70/100,70,"567,097"
49,Marvel,X-Men: Days of Future Past,2014,744.047433,744.047433,232.485,511.562433,PG-13,Bryan Singer,8.0/10,91%,74/100,74,"569,251"
50,Marvel,Avengers: Age of Ultron,2015,,1405.4036939999999,459.00586799999996,946.397826,PG-13,Joss Whedon,7.4/10,75%,66/100,66,"546,135"
51,Marvel,Ant-Man,2015,,519.311965,180.20216299999998,339.109802,PG-13,Peyton Reed,7.3/10,82%,64/100,64,"396,351"
52,Marvel,Captain America: Civil War,2016,,1153.3044949999999,408.08434900000003,745.220146,PG-13,"Anthony Russo, Joe Russo",7.9/10,91%,75/100,75,"451,386"
53,Marvel,Doctor Strange,2016,,677.718395,232.64192000000003,445.076475,PG-13,Scott Derrickson,7.5/10,89%,72/100,72,"358,456"
54,DC,Batman v Superman: Dawn of Justice,2016,,873.260194,330.360194,542.9,PG-13,Zack Snyder,6.6/10,27%,44/100,44,"505,377"
55,DC,Suicide Squad,2016,,745.600054,3251.000054,20.5,PG-13,David Ayer,6.2/10,26%,40/100,40,"446,021"
